SZC_conservative;국민당파;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SZC_fascist;파시스트당;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SZC_anarcho_liberal;해방당;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAI;태평천국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAI_ADJ;태평천국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAJ;타지키스탄;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAJ_ADJ;타지키스탄;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAJ_conservative;왕당파;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAJ_liberal;자유당;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAJ_reactionary;국민당;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAJ_anarcho_liberal;급진파;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAJ_socialist;사회당;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAJ_communist;공산당;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAJ_fascist;파시스트당;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAR;타타르스탄;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAR_ADJ;타타르;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS;태즈메이니아;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_ADJ;태즈메이니아;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_absolute_monarchy;밴디멘스랜드;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_absolute_monarchy_ADJ;밴디멘스랜드;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_conservative;보수당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_conservative_1;반-사회당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_conservative_2;국민당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_liberal;자유당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_liberal_1;자유당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_socialist;노동당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_socialist_1;노동당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_communist;공산당;자유민주당;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_reactionary;급진 민족주의당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_reactionary_2;국가당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_anarcho_liberal;급진자유당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAS_fascist;파시스트당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCA;트랜스캅카스;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCA_ADJ;트랜스캅카스;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TKG;에도 막부;;자유민주당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TKG_ADJ;도쿠가와;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TKG_fascist;흑룡회;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TKM;튀르크메니스탄;;;;;;;;;;;;;
TKM_ADJ;튀르크메니스탄;;;;;;;;;;;;;
TKM_conservative;왕당파;Faction royale;K?nigsfraktion;;;;;;;;;;;
TKM_liberal;자유당;Faction lib?rale;Die liberale Fraktion;;;;;;;;;;;
TKM_reactionary;국민당;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
TKM_anarcho_liberal;급진파;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
TKM_socialist;사회당;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
TKM_communist;공산당;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
TKM_fascist;파시스트당;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
TKS;투라니아;Faction nationaliste;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TKS_ADJ;투라니아;Faction radicale;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TGA;통가;Faction socialiste;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TGA_ADJ;통가;Faction communiste;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNZ;탕카니카;;;;;;;;;;;;;
TNZ_ADJ;탕카니카;;;;;;;;;;;;;
TNZ_liberal;시민통합전선;;;;;;;;;;;;;
TNZ_conservative;민주진보당;;;;;;;;;;;;;
TNZ_socialist;사회당;;;;;;;;;;;;;
TNZ_reactionary;개발정의당;;;;;;;;;;;;;
TNZ_anarcho_liberal;통합민주당;;;;;;;;;;;;;
TNZ_communist;혁명당;;;;;;;;;;;;;
TNZ_fascist;국가재건동맹;;;;;;;;;;;;;
TNT;탄누우량카이;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNT_ADJ;투바;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNT_reactionary;라마파;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNT_socialist;사회당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNT_communist;공산당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNT_liberal;자유당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNT_anarcho_liberal;해방당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNT_conservative;보수당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNT_fascist;통일당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOG;토고;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOG_ADJ;토고;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOG_liberal;UCPN;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOG_conservative;진보당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOG_reactionary;전토고인민연합;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOG_socialist;토고통합당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOG_anarcho_liberal;청년토고연합;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOG_communist;토고 인민당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOG_fascist;토고 인민운동;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOS;시코쿠;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOS_ADJ;시코쿠;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOS_absolute_monarchy;도사;;Faschistische Partei;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOS_prussian_constitutionalism;도사;;Freiheitspartei;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOS_hms_government;도사;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOS_absolute_monarchy_ADJ;야마우치;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOS_prussian_constitutionalism_ADJ;야마우치;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOS_hms_government_ADJ;야마우치;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOU;투클로르 제국;;;;;;;;;;;;;
TOU_ADJ;투클로르;;;;;;;;;;;;;
TOU_democracy;투클로르 공화국;;;;;;;;;;;;;
TOU_proletarian_dictatorship;사헬 인민공화국;;;;;;;;;;;;;
TOU_fascist_dictatorship;사헬 공화국;;;;;;;;;;;;;
TOU_bourgeois_dictatorship;사헬 공화국;;;;;;;;;;;;;
TOU_presidential_dictatorship;사헬 공화국;;;;;;;;;;;;;
TOU_proletarian_dictatorship_ADJ;사헬;;;;;;;;;;;;;
TOU_fascist_dictatorship_ADJ;사헬;;;;;;;;;;;;;
TPG;태평천국;;;;;;;;;;;;;
TPG_democracy;태평공화국;;;;;;;;;;;;;
TPG_bourgeois_dictatorship;태평공화국;;;;;;;;;;;;;
TPG_proletarian_dictatorship;태평 인민공화국;;;;;;;;;;;;;
TPG_fascist_dictatorship;태평;;;;;;;;;;;;;
TPG_presidential_dictatorship;태평천국;;;;;;;;;;;;;
TPG_ADJ;태평;;;;;;;;;;;;;
TPG_conservative;서왕;;;;;;;;;;;;;
TPG_liberal;익왕;;;;;;;;;;;;;
TPG_reactionary;동왕;;;;;;;;;;;;;
TPG_socialist;북왕;;;;;;;;;;;;;
TPG_anarcho_liberal;급진파;;;;;;;;;;;;;
TPG_communist;공산당;;;;;;;;;;;;;
TPG_fascist;파시스트당;;;;;;;;;;;;;
TRE_reactionary;왕당파;자유당;Tasmania;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRE_liberal;자유당;자유당;Tasmanian;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRE_conservative;보수파;노동당;Van Diemen's Land;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRE_socialist;사회당;노동당;Van Diemonian;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRE_communist;혁명당;공산당;보수파;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRE_reactionary_2;기독당;급진 민족주의당;Anti-사회당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRE_anarcho_liberal;급진당;;국민당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRE_fascist;파시스트당;;자유당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRK;트루크;;자유당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRK_ADJ;트루크;Faction royale;노동당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRS;타라스코;;;;;;;;;;;;;
TRS_ADJ;타라스코;;;;;;;;;;;;;
TTB;트리니다드;Trinit? & Tobago;Trinidad & Tobago;;Trinidad & Tobago;;;;;;;;;
TTB_ADJ;트리니다드;Trinidadien;Trinidadisch;;Trinidadian;;;;;;;;;
TTB_conservative;보수당;보수당;보수당;;;;;;;;;;;
TTB_liberal;시민동맹;Citizens' Alliance;Citizens' Alliance;;;;;;;;;;;
TTB_reactionary;국민당;국민당;국민당;;;;;;;;;;;
TTB_socialist;인민당;People's Partnership;People's Partnership;;;;;;;;;;;
TTB_communist;노동자당;Worker's Party;Worker's Party;;;;;;;;;;;
TTB_anarcho_liberal;버틀러당;Butler Party;Butler Party;;;;;;;;;;;
TTB_fascist;파시스트당;파시스트당;파시스트당;;;;;;;;;;;
BYZ;그리스 제국;;;;;;;;;;;;;
BYZ_ADJ;그리스;;;;;;;;;;;;;
BYZ_democracy;그리스 연방;;;;;;;;;;;;;
BYZ_presidential_dictatorship;그리스 연방;;;;;;;;;;;;;
BYZ_bourgeois_dictatorship;그리스 연방;;;;;;;;;;;;;
BYZ_proletarian_dictatorship;발칸 사회주의 연방;;;;;;;;;;;;;
TUR;터키;Turquie;T?rkei;;;;;;;;;;;
TUR_ADJ;터키;Turque;Turkisch;;;;;;;;;;;
TUR_proletarian_dictatorship;터키;Turquie;T?rkei;;;;;;;;;;;
TUR_presidential_dictatorship;오스만;The Sublime Porte;The Sublime Porte;;;;;;;;;;;
TUR_presidential_dictatorship_ADJ;오스만;Ottoman;Osmanisch;;;;;;;;;;;
TUR_absolute_monarchy;오스만 제국;Empire ottoman;Osmanisches Reich;;;;;;;;;;;
TUR_absolute_monarchy_ADJ;오스만;Ottoman;Osmanisch;;;;;;;;;;;
TUR_prussian_constitutionalism;오스만 제국;Empire ottoman;Osmanisches Reich;;;;;;;;;;;
TUR_prussian_constitutionalism_ADJ;오스만;Ottoman;Osmanisch;;;;;;;;;;;
TUR_hms_government;오스만 제국;Empire ottoman;Osmanisches Reich;;;;;;;;;;;
TUR_hms_government_ADJ;오스만;Ottoman;Osmanisch;;;;;;;;;;;
TUR_bourgeois_dictatorship;터키 자유국;;;;;;;;;;;;;
TUR_proletarian_dictatorship;터키 사회주의 공화국;;;;;;;;;;;;;
TUR_proletarian_dictatorship_ADJ;터키;;;;;;;;;;;;;
TUR_reactionary;국민질서당;;;;;;;;;;;;;
TUR_reactionary_2;무함마드당;;;;;;;;;;;;;
TUR_reactionary_3;반동당;;;;;;;;;;;;;
TUR_reactionary_4;경비당;;;;;;;;;;;;;
TUR_conservative;하티 후마윤;;;;;;;;;;;;;
TUR_conservative_2;오스만 구원당;;;;;;;;;;;;;
TUR_conservative_3;오스만 보수당;;;;;;;;;;;;;
TUR_liberal_2;탄지마트당;;;;;;;;;;;;;
TUR_liberal_4;오스만 민주당;;;;;;;;;;;;;
TUR_liberal_5;인민당;;;;;;;;;;;;;
TUR_socialist;오스만 사회당;;;;;;;;;;;;;
TUR_socialist_3;사회당;;;;;;;;;;;;;
TUR_communist;인민자유당;;;;;;;;;;;;;
TUR_communist_2;공산당;;;;;;;;;;;;;
TUR_communist_3;인민해방당;;;;;;;;;;;;;
TUR_liberal;터키 자유당;;;;;;;;;;;;;
TUR_liberal_3;신오스만파;;;;;;;;;;;;;
TUR_socialist_2;오스만 집단당;;;;;;;;;;;;;
TUR_anarcho_liberal;오스만 아나코당;;;;;;;;;;;;;
TUR_fascist;오스만 국가당;;;;;;;;;;;;;
TUR_fascist_2;튀르크 국민전선;;;;;;;;;;;;;
TUR_fascist_3;국민당;;;;;;;;;;;;;
UIL;신아메리카 동맹;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_proletarian_dictatorship;신아메리카 공화국;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_fascist_dictatorship;신아메리카;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_presidential_dictatorship;신아메리카;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_absolute_monarchy;신아메리카 왕국;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_prussian_constitutionalism;신아메리카 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_ADJ;신아메리카;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_reactionary;신아메리카당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_conservative;신민주당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_liberal;신공화당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_anarcho_liberal;자유당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_socialist;사회당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_communist;만국의 노동자당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UIL_fascist;패권당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNB;콜로라도 공화국;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNB_absolute_monarchy;콜로라도 왕국;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNB_prussian_constitutionalism;콜로라도 왕국;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNB_hms_government;콜로라도 연방;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNB_ADJ;콜로라도;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNB_reactionary;콜로라도당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNB_conservative;신민주당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNB_liberal;신공화당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNB_anarcho_liberal;해방당;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNB_socialist;사회당;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNB_communist;공산당;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNB_fascist;파시스트당;Monarchici;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNM;푸에블로 공화국;;;;;;;;;;;;;
UNM_absolute_monarchy;카와이가;;;;;;;;;;;;;
UNM_prussian_constitutionalism;카와이가;;;;;;;;;;;;;
UNM_hms_government;카와이가;;;;;;;;;;;;;
UNM_absolute_monarchy_ADJ;푸에블로;;;;;;;;;;;;;
UNM_prussian_constitutionalism_ADJ;푸에블로;;;;;;;;;;;;;
UNM_hms_government_ADJ;푸에블로;;;;;;;;;;;;;
UNM_proletarian_dictatorship;푸에블로 인민공화국;;;;;;;;;;;;;
UNM_ADJ;푸에블로;;;;;;;;;;;;;
UNM_reactionary;신푸에블로당;;;;;;;;;;;;;
UNM_conservative;신민주당;;;;;;;;;;;;;
UNM_liberal;신공화당;;;;;;;;;;;;;
UNM_anarcho_liberal;해방당;;;;;;;;;;;;;
UNM_socialist;사회당;;;;;;;;;;;;;
UNM_communist;공산당;;;;;;;;;;;;;
UNM_fascist;파시스트당;;;;;;;;;;;;;
UOR;오리건국;People's Partnership;;;So cialisti;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_absolute_monarchy;오리건 왕국;Worker's Party;;;Rivoluzio nari;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_prussian_constitutionalism;오리건 왕국;Butler Party;Trinidad & Tobago;;C attolici;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_hms_government;오리건;파시스트당;Trinidadisch;;Radicali;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_proletarian_dictatorship;오리건 인민공화국;;보수당;;Fascisti;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_ADJ;오리건;;시민동맹;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_fascist_dictatorship;카스케이디아;;국민당;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_fascist_dictatorship_ADJ;카스케이디아;;People's Partnership;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_reactionary;진아메리카당;;Worker's Party;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_conservative;신민주당;;Butler Party;;Trinidad & Tobago;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_liberal;신공화당;;파시스트당;;Trinidadian;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_anarcho_liberal;해방당;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_socialist;사회당;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_communist;공산당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UOR_fascist;카스케이디아;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA;우랄공화국;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_absolute_monarchy;우랄국;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_prussian_constitutionalism;우랄국;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_hms_government;우랄국;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_democracy;우랄자유국;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_proletarian_dictatorship;우랄인민공화국;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_ADJ;우랄;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_conservative;슬라브파;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_liberal;서구당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_communist;사회민주당;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_socialist;멘셰비키;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_reactionary;범슬라브주의당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_conservative_2;10월연합;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_anarcho_liberal;급진당;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URA_fascist;파시스트;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;아메리카 합중국;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA_bourgeois_dictatorship;아메리카 합중국;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
